Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Benchmark,sim_ticks,BCE
8,1,8,2,1024,4,2,fmm,15343052500,72
8,1,8,2,1024,64,3,fmm,15374292500,72
8,1,8,4,1024,2,2,fmm,15379350000,72
8,1,8,2,1024,2,2,fmm,15488347500,72
8,1,16,4,2048,32,2,fmm,16717260817,136
8,1,16,4,2048,16,2,fmm,16722613851,136
8,1,16,4,2048,8,2,fmm,16729467335,136
8,1,16,4,2048,4,2,fmm,16738354286,136
8,1,16,4,2048,64,3,fmm,16769582223,136
8,1,16,4,2048,2,2,fmm,16851046655,136
8,1,16,4,1024,32,2,fmm,16866799951,104
8,1,16,4,1024,64,2,fmm,16895204184,104
8,1,16,4,1024,16,2,fmm,16900092793,104
8,1,16,4,1024,8,2,fmm,16914767194,104
8,1,16,4,1024,4,2,fmm,16928221229,104
8,1,8,8,2048,32,2,fmm,16957249935,104
8,1,8,16,2048,32,2,fmm,16967037156,104
8,1,8,8,2048,16,2,fmm,16969046330,104
8,1,8,16,2048,8,2,fmm,16972564528,104
8,1,8,16,2048,16,2,fmm,16973063249,104
8,1,8,8,2048,8,2,fmm,16978969306,104
